,reviews,sentiments
10,"although like many day , avoid ba long haul london heathrow due perception poor service lack customer service thing go wrong , pleasantly surprised recent flight belfast . aircraft actually left time arrived ahead schedule . cabin crew looked bored uninspired often ba ( read time ) ’ really matter . quiet flight say emergency exit unchallenged handy . would fly ba pressed .",0.5
11,"flight british airway best . flight attendant outstanding - processional , attentive helpful . food good seat/lie flat bed comfortable . love smart design a350 club world cabin . wonderful flight home !",0.9
12,"verified | worst airline ever flown . cancelled flight 3 hour departure ’ even contact . ’ put new flight - rebook next day - also left find accommodation nightmare refused compensation left stranded . onboard service also archaic outdated plane oldest airline ’ flown . food service worst ’ ever experienced ’ travelled airline ( emirate , etihad , thai , malaysian , qantas , cathay , ua etc ) . fly ba .","Based on the given text, the sentiment score would be approximately -0.9."
13,"disappointing service , plane interior terribly incompetent customer service booked flight directly ba 's website . soon started get email saying selected seat ( paid extra selection ) changed ba without reason given directed website . found information said seat change . happened several time ( 4 flight altogether ) . website seems digital dinosaur . first leg flight fine , discovered transfer area heathrow forgot new laptop onboard . immediately contacted ba 's called customer service ( oxymoron ) , basically said anything , would wait cleaner ( working contractor ) would finished job hope would discover laptop return called lost & found airport . ba 's customer service said could n't contact colleague terminal/gate plane still let know lost laptop seat 27a plane ( yes told exactly laptop ) . would n't take contact detail either notify laptop would returned refused register incident . simply interest assisting n't even make attempt pretend . communication via online customer service poor , n't even respond message . end emailed representative heathrow replied message form supervisor ( reveal name ) : `` duty british airway find lost property behalf passenger , however would like dispute contact customer relation online feedback . '' took responsibility referred smartecarte , contractor cleaning plane apparently collecting lost item heathrow . received laptop , worth 2 thousand gbp , back 3 week later . flight london cape town ( ~12 hour ) , unpleasant . flight attendant seemingly unenthusiastic job , took hour collect trash meal , also distributed extremely slowly . food good . boarding slow inefficient . drink offered twice ( otherwise 'd ask especially ) long flight . seat fabric , uncomfortable room scarce relax sleep . flying british airway disappointing keen flying .",-0.8
14,transit visa required partner transit via london iceland . buy separate ticket via another airline . reach iceland emailed british airway telling wo n't using return ticket requested partial refund . 2 day later . received email customer service need contact one service centre via provided link . replied say link go page various british landline phone number call explained overseas practical via international call . replied say contacting service centre . airline end taking money regardless .,-0.6
15,"surprised receive confirmation pre-flight 69 kg luggage allowance . later confirmed one 23 kg checked , another 23 kg carry seat , third 23 kg carry overhead stowage . checkin opened bit late , line executive club member even later , courteous efficient . long queue passport control fault brexit , ba . seat screen ; earphone socket ; charge point ; seat recline ; boarding music . low cost carrier . captain announced `` wonderful service emily crew '' - maybe club class , economy cabin . announced would serve complimentary water snack , snack came . also announced would free text messaging exec club member , could n't get work , although member . snack sold , twice tui price . example cadbury 's chocolate finger £3.50 . chose ba time booked cheaper charter carrier . british must n't forget ba 's impeccable safety record normally reliable service . landing purser thanked crew hard work . seems pushing one small cart aisle four hour constitutes hard work ba . least time .",0.2
16,"flight cancelled , refunding money saying took flight never happened . refunding new flight booked , hotel , food stranded . provide food water waiting hour tarmac . provide information n't refunding flight never happened . saying information .",-0.9
17,"visa issue , hence , debarred flying . ground staff mumbai excellent ( woman named brinelle ) helpful understanding . rebook ticket , original journey consisting 3 leg , ba forced rebook entire ticket , system allow rebook one leg ( even though gap 13 day two leg , like connecting flight ) . telephone operator rude , took 45 minute kept saying needed 3-4 minute give clarity . horrendous . final price offered rebooking 2 3 leg much original fare 3 leg . torturous , ba horrendous website allow . poor experience , .",Sentiment score: -0.6
18,"singapore heathrow ba . two choice route a380 777-300. economy premium ( first ) ’ much . club world 777 win suite . check easy . security passport control singapore efficient . choice 3 lounge ( ba , qantas qatar ) latter win easily . ba lounge ok major negative . qantas win space . boarding time . aircraft high density club world cabin . service fine . club suite good . ’ food beverage targeted feel . 1st meal starter good , main beef fillet average , sentiment cheese . wine acceptable . champagne choice cheap try . service meal efficient given full cabin . breakfast similar . menu suggested might want skip main course opt starter dessert , work ba , major shift lounge option sourced presented would needed . slept well , arrived early , luggage quickly ( ) reasonable flight overall . warning ba food beverage club world drifting wrong direction",0.5
19,"recently travelled munich london british airway , turned absolute nightmare . trouble began malfunctioning app . despite checking successfully , unable retrieve boarding pass . upon arrival airport , discovered self-service kiosk , check-in desk completely unattended . seeking help information desk , directed staff member clearly want assist u . dismissive attitude infuriating , despite showing app indicating checked , simply told u call customer service walked away without providing assistance . put hold 25 minute sent several different staff member ’ help u , finally reached someone phone kind ultimately powerless resolve issue . point , flight delayed , wasted two hour trying print boarding pass . followed complaint , british airway basically dismissed concern told use app next time—ignoring fact app 's failure caused problem first place ! experience cost u staggering £682.43 additional expense , including new flight , hotel stay , taxi fare , fine . missing work explaining absurd situation employer incredibly embarrassing . british airway clearly need improve customer service technology . app website going fail , must provide adequate support airport . never fly , urge others consider alternative airline .",-0.8
20,"verified | paid seat 80 b flight heathrow boston a380 , paying premium economy seat . upon arrival airport ticket agent said healthy enough sit purchased seat due old presume ( 65 ) since reason find could sit exit seating . healthy enough walk 10-12 mile day adequate upper body strength . attempting convince got u stuck cattle call seat , rear aircraft , second floor middle two seat row . told money would refunded immediately `` inconvenience '' . several week recontacted ba said complaint went wrong section forwarding next section . 6 week later still heard update except computer response stating refund returned 3 week , keep waiting . plane ground difficulty needed quick repair . completed 30 minute later boarded flight . captain came said look like forgot order ground crew back u terminal needed wait another 30 minute . able make lost time air . landed 1.5 hour later scheduled , wreaking havoc next flight .","Based on the text provided, the sentiment can be calculated as follows:

- There are negative aspects mentioned such as not being able to sit in the purchased seat, being stuck in a less desirable seat, delayed boarding, delayed arrival, and inconvenience caused.
- There is frustration expressed with the efforts to address the issue not being successful even after multiple attempts.

Overall, the sentiment of the text is leaning towards the negative side. Therefore, the sentiment score for this text would be around -0.7."
21,"verified | flight ’ bad , although inflight entertainment ’ great , screen old-fashioned . hard operate dark touch screen ’ working time . though remote . cabin crew slamming air larder ( oven draw ) . apart , cabin crew nice , food good seat comfortable .",0.05
22,"decided treat teenage daughter world traveller plus return leg canada holiday , paying hundred pound extra ... end spending nine half hour trapped broken seat staring blank screen entertainment system failed work . n't bought book uploaded film assumed would enjoying entertainment ba promised . decided lie back get rest instead , discover leg rest seat n't work . flight attendant able prop manually shoving thing underneath , unfortunately made matter worse became firmly stuck position , forcing body awkward position descent , keep seatback upright , leaving back pain lasted three day ( bad lower back ) . early experience asked moved economy could sit normally watch film , flight full space . apologetic flight attendant assured would receive compensation , assumed meant airline would , least , upgrade u next time flew ba , since unable enjoy advertised benefit world traveller plus ( two u one suitcase , n't made use extra baggage allowance ) . ba 's actual compensation offer : £25 worth avios point . wrote back ( since ba n't allow direct telephone contact complaint department ) explaining firmly politely fair acceptable , given hundred extra pound 'd paid added extra airline failed deliver . ghosted . experience cautionary tale british airway customer support . go plan , may well pleasant world traveller plus experience . anything go wrong , support staff wash hand money wasted . unless 're prepared gamble , would advise either stick economy/world traveller ( since 're really paying fly b , manage ) fly another airline . could end like : throwing away extra money experience fell far standard economy class . flight canada , would recommend airline air canada , turned uncertainty covid pandemic exceptional customer service fast , no-nonsense refund . cost bit , life returned normal post-covid , started flying ba , believing high standard customer service longer important . see mistake false economy - one ended costing hundred wasted pound .",-0.7
23,"verified | impressed efficient boarding , relatively ( compared air canada ) comfortable seat quality food . drink snack frequently offered . overall fuss , bother experience .",0.8
24,"verified | flight scheduled 1840 left 2hours 40 minute alter due late arrival incoming aircraft naples , result missed connection istanbul dubai , nothing unusual . issue acknowledged captain plane late since morning flight rome rolling effect evening . case , whey ba contact passenger , could made arrangement fly early istanbul miss connection resulting £300 charge long delay . ba certainly lot staff could informed using email text . obviously passenger utility ba ticket purchased . trust ba travel ? poor handling simple matter .",-0.6
25,"flying ba 15 year . american airline ff gave ba . gold member ba 10 year . thing noticed last 5 year ba . flight attendant getting lazier complacent , cleaning bathroom serving meal . food ba deteriorated point able eat garbage give gold status almost meaningless big scheme thing . never able upgrade business first using avios point accumulated transcon flight . fly ba partner american airllines easily get europe . switched back aa ff program already much better . ba used splendid airline another poor airline european market !",-0.7
26,"arriving mexico airport told flight delayed aircraft broken replacement aircraft lhr six hour late . eventually managed check told – contrary ba website – could access 24-hour grand lounge elite instead would use american airline admiral club lounge would close three hour flight left . would use restaurant given food voucher . two hour flight due leave informed aircraft diverted cancun “ volcanic ash cloud mexico city ” – although appear affecting flight airport including europe . eventually arranged taxi take u hotel arrived 1.30am . assured would ba flight leaving time following day . contact local employee stayed hotel . said organise transport refused give u contact detail . ( eventually need transport following day disappeared . ) night , sent email telling u booked onto air canada flight leaving 6.30am . would impossible short notice without canadian epa authorisation . spent two hour trying make contact ba – mexico number work eventually put aeromexico flight economy . told u check soon could meant pay extra £200 seat . later , long call , told could upgraded business aeromexico despite told earlier availability . ba informed u already checked – suggested – could moved took three call aeromexico sort . totally understand aircraft break onus airline rearrange passenger . lucky took trouble making call uk others – disabled lady – told nothing left .","Based on the text provided, the sentiment score would be approximately -0.8, indicating a predominantly negative sentiment."
27,"flown british airway many year still regularly . one last flight past summer paris boston , british booked connecting flight paris london gave maximum 90 minute connect london . london heathrow massive airport going terminal terminal could take 20-30 minute deplane , including actual time deplane seated back line passport control security terminal . already , one pressed time . flight paris london day tardy , 49 minute tardy day exact . ba flight 323 fact , routinely tardy . – ’ bother one . flight connection assisted calling new gate let know previous flight delayed rushing gate . 30 minute connecting flight depart . ran like fool 25 minute , carryons , arriving gate 5 minute flight depart , greeted plane . agent said since one knew ( false ) plane left without – early . gaining minute important passenger inconvenienced delay . made 20 minute trek back flight connection knowing would rebook following day . going miss wedding destined attend boston . sent prepaid hilton hotel room night told would pay 30 pound way taxi take . gave pamphlet instruction reimbursement . early july . took 4 month complaint british centre effective dispute resolution reimbursed equivalent $ 77 . apology , recognition , even free drink coupon next flight ’ ever take british . like bad insurance claim , british kept denying claim , expecting would go away . well , going away . ’ taking $ 77 using another airline future travel .",-0.7
28,"verified | bought ticket geneva-london flight , got airport told airline oversold ticket flight passenger earlier cancelled flight given seat flight . explanation : `` allowed . ''",-0.6
29,appalling service failing defective fleet a380 aircraft . flown four time route return significant delay 2 26 hour every time . ba56 boarded 6:20pm 13 october . flight cancelled technical reason . six hour return custom recover bag . ba management johannesburg night . four hour organise hotel transfer queue 300 people check . room eventually accessed 4:30am attempt re-schedule assist - pilot trying announce process .,-0.8
30,"british airway charge pleasure choosing seat put back club turned advantage meant could get seat without climb anybody . seat clean later discovered foldout section would stay foot dangled edge bed extended . boarding complete told departure delayed ba loaded cargo ; told delayed fault one fuel pump . took five hour problem corrected pilot later informed u installed new pump initially thought software issue . time served meal told alcohol permitted curious given already served pre-departure drink . cabin crew male , apparently , based mexico turned pleasant surprise given spoke incredibly positive friendly seemed embarrassed happening . knew old-style seat less acceptable ba ’ petty penny pinching . competition smallest hot towel ba would winner . food sounded nice looked impressive seemed totally tasteless .","Based on the text provided, the sentiment score is roughly -0.2."
31,"wrong guy ? people pay lot money business class ticket sit squeezed seat legroom , nothing clean , overhead locker empty want put bag seat room leg anymore serve food rubbish . staff demonstrates 's british arrogance manner . decent polite service anymore . really difference easyjet . 's european route .",-0.7
32,"booked two business class seat british airway july , 2024 flight september 19 , 2024. told september 19 heathrow airport flight cancelled could one business seat another flight different airport . one british airway contacted u apologize offer refund business class seat lost . filed complaint british airway asked reimbursement september 21 heard word october 11 , 2024. worst flight experience ever . terrible customer service . zero communication customer . even find phone number call british airway website .",-0.8
33,"’ flown many airline , recent experience british airway left much desired . in-flight entertainment underwhelming , disappointed lack basic amenity , comfort kit essential like eye mask . positive aspect slightly generous legroom , overall , found service far expectation . impressed .",-0.4
34,"recently flew new york back london ba , n't first long haul however first time travelling world traveler plus . boarded aircraft time stress free first impression good . cabin clean leg room good . recline seat generous combined footrest quite comfortable . waiting seat decent quality cushion blanket well amenity kit . amenity kit contained good headphone , sock , eye mask , lip balm , pen toothbrush toothpaste . boarding complete offered pre departure drink orange juice , water champagne option . crew friendly professional upmost ensure everyone happy . air offered hot towel another round drink , time lot selection . drink offered several time throughout flight . menu also handed long take , starter quinoa main choice chicken , meatball pasta vegetarian mushroom dish . chose meatball really good . real complaint flight people getting dish wished . sat last row premium economy cabin time meal service got u chicken dish gone . moral story sit front cabin , likely get preferred meal option . meal chose watch show well sized entertainment screen , ba definitely best inflight entertainment . finally hour landing served breakfast snack , come form warm egg swiss cheese bagel . edible also little soggy n't really taste much , certainly wont craving one anytime soon . touched heathrow time disembarking aircraft picking bag , everything efficient way time .",0.8
35,"verified | ba business class europe seat economy , simply empty seat next many , true benefit flight meal , lounge access priority security etc . problem flight small child , aged around five , sang incessantly extremely loud voice throughout flight . aware difficulty flying child , know difficult keep entertained etc , patient person , headphone . parent child chose , despite polite request , try quieten child . point one expectation crew step . singling loudly , disrupting passenger , would quite rightly ask desist . speak parent child disrupting rest sleep passenger ? instead , served meal , crew retreated behind curtain left passenger stew . simply good enough . wifi ? forget ...","Based on the content of the text, the sentiment can be calculated as follows:

Positive elements: 
- Mention of benefits of business class such as empty seat, flight meal, lounge access, and priority services.
- Understanding of the challenges of flying with a small child.

Negative elements: 
- Disruption caused by a child singing loudly throughout the flight.
- Lack of action or assistance from the crew in addressing the disruptive behavior.

Taking into consideration both positive and negative elements, the sentiment of the text can be evaluated as: -0.7"
36,"flight started seattle wa heading lisbon portugal . 10 hour flight 2 hour layover boarded flight ba502 lisbon . heading runway plane stopped pilot said small mechanical issue mechanic route . hour tarmac flight crew announce going offer complimentary water ? really ! ! another half hour go say flight cancelled , reason time . wait bus remove passenger plane announce staff member back gate help meal voucher , taxi ride hotel accommodation . ? get bus line passenger trying figure ’ happening . staff hand wife $ 10 meal voucher say go upstairs someone help issue . go upstairs nobody know . one staff member hand u paper hotel room tell u get luggage keep receipt taxi reimbursed . nothing else . asked another flight said contact asap . contact ? ? walked away . grabbed luggage headed taxi line . driven hotel receive email flight next day different airline , iberian ? assigned seat together ? ? get hotel barely fit shower double bed . ’ 6 ’ 3 ” 230lbs wife . crazy . get little sleep nothing eat . another taxi ride airport tried use meal voucher good prior day . went first customer service line ’ authorization issue new voucher . finally third customer service line someone issue u new voucher . finally made destination day half later still pay room ’ even use cancellation . ba refuse reimburse u first night missed . filed claim ba nothing far . never fly ba !",-0.8
37,"british airway flight edinburgh got delayed 1 h 30 min connecting flight part ticket . literally run next connecting flight british airway lhr delhi . bonus trouble surprise landed delhi got know luggage missing . assured luggage delivered address today 4th oct received yet . shown luggage bbi air port apply leave collect . detail point contact , enter air port without ticket . sort trouble face .","Based on the text provided, the sentiment can be calculated as follows:

- The initial delay and running to catch the connecting flight could be seen as negative experiences.
- The missing luggage upon arrival in Delhi is also a negative experience.
- However, there is a bit of positivity in the assurance that the luggage will be delivered and the opportunity to leave contact details to collect it.

Overall, the sentiment of the text can be evaluated as slightly negative, so I would assign it a sentiment score of around -0.3."
38,"british airway world traveller plus ( premium economy ) product need improvement justify high cost economy . yes , seat leg room far superior flight , crew excellent . however , lunch/dinner average , wine selection poor like airline , ba provides revolting snack prior landing . ( snack served economy ) . choice entertainment also requires improvement . ceo sean doyle serious elevating ba one one world ’ best airline ( ) work needed provide better customer experience .",The sentiment of this text could be evaluated as slightly negative. I would assign a sentiment score of around -0.2.
39,ba barely step low cost airline . try dime nickel everywhere possible . found select seat check anymore baggage . next time go low cost carrier since virtually difference anymore .,0.1
40,"verified | happy flight crew . n't plane 20 year stressed . made comfortable want say thank flight crew helping relax . go back france , 'm going british airway .",The sentiment of the text is 0.6
41,"horrible service boarding landing . flew london marrakech disappointed arrangement boarding , food horrible , staff arrogant seat super uncomfortable 3h40min flight business class . today taking flight marrakech london . recommend .",-0.85
42,"verified | wife disappointed flying british airway . flight 9/12 cancelled airline flying . addition , seat changed multiple time without explanation . people working rude customer oriented .",-0.7
43,"verified | flew ba heathrow berlin one way connection . experience ba ground staff heathrow good , friendly helpful check baggage drop . crew flight also good , captain provided general information welcoming suitable casual efficient way . flight steward also friendly handed water small snack ( chocolate bar ) unexpected 1 hr 20 min flight . seating typical class aircraft ticket . cleanliness optimal could improved . memory slightly delayed departure heathrow , slightly reduced arrival berlin . issue u berlin destination connecting concern . baggage arrived safely berlin . understand ba negative review customer experience occasion positive would happily recommend use ba .",0.6
44,verified | absolutely disgusted ba . flight cancelled 1 may ba even though flight still departed . connecting flight manchester heathrow cancelled due weather could get compensation flight . turn get compensation flight seattle either even though ba actually cancelled u . never fly .,-0.8
45,verified | took trip nashville wife leisure break . arrived t5 directed club world check zone left terminal . zone seemed way small number passenger check process painfully slow . queue non premium cabin seemed much effectively managed . bite eat departure lounge . plenty food option even though busy . flight departed furthest away satellite gate c annex . boarding managed efficiently . seat 4a club suite section . lot space comfortable . crew + 40 average friendly attentive . chose salmon dish glad 3a run row 4 ! entertainment little disappointing term latest release movie . meal prior landing taste skipped . flight landed right schedule complaint basis .,0.2
46,"verified | nightmare journey courtesy british airway . worst flight experience 50 year flying ! booked ba470 scheduled depart heathrow 12.05 5 sept - boarded 1.5 hr late despite plane gate wait crew arrive . approximately 1hr flight pilot advised weather radar n't working , would returning heathrow circled approx 45 min landing . member staff present offer advice alternative flight customer service desk stated would deal await email . email finally arrived hour husband fortunate enough allocated seat 21.15 flight . time boarded approx 2 hr late plane gate wait crew . result around 3.00 reached venice long wait taxi meant n't reach hotel beyond mestre 4.00 . 've since learnt ba cancelled hundred flight past several day claiming 'bad weather ' yet according flightradar 24 airline flying heathrow cancelled flight","The sentiment of this text is approximately -0.8 on a scale from 1 (very positive) to -1 (very negative). It expresses a highly negative experience with British Airways, detailing various issues encountered during a flight, including delays, equipment malfunctions, lack of customer service, and inconvenience upon arrival."
47,"absolutely atrocious . lhr-ord-lhr round-trip . british airway truly disgrace `` national airline '' . eight seat first class , would think could provide genuine `` white glove '' experience . instead , crew first class way inattentive , ill-mannered , badly trained . one get better service mcdonalds . ba 's new first suite small , uncomfortable cubicle , mile behind premium class airline . movie selection poor , wifi work properly . amenity kit tiny , cheap . airplane dirty , clearly cleaned haste . food served first class grim , especially bad ord-lhr sector . crew sector spent time galley , disappeared meal service . overall , british airway continues decline , one would n't fly alternative . add insult injury , ba fly chicago international terminal , decided ord-lhr return fly american airline terminal 3 , including use aa dreadful flagship lounge t3 . course , nothing change , government given ba virtual monopoly , ba continue mediocre leadership care cost , share portfolio .",Sentiment score: -0.9
48,"someone fly relentlessly british airway business pleasure , generally routing gold frequent flier ’ come accept shocking food , service , exorbitant price outdated plane . get plane primary role crew safety however said crew look like fallen bed dress properly case men find razor question ability react emergency situation . enough said .",-0.5
49,"flew british airway club europe saturday 31st august . poor lounge berlin brandenburg airport . emailed , say flight delayed explanation , announcement made . staff lounge told delay , airport info screen updated . email said keep checking online update . flight took 99 minute late explanation late arrival plane departure , rushed service . arrival lhr , quickly passport control , almost hour wait baggage arrive carousel . announcement due delay , meaning arriving home 3 hour later arriving .",-0.6
50,straightforward check t5 . new site club check work well . lounge busy good food offering . time departure completely full flight cabin . sound food drink offered exception inferior quality champagne . crew coped well busy quite short flight . slept hour . afternoon tea food good portion small . early landing luggage quickly .,0.2
51,"verified | beyond upset disgusted disregard , lack knowledge lie company put . call different representative lead help , nothing resolved false information . due longer able fly original flight , called spoke someone gave new reference number could book later date/destination change name . close family member pas away suddenly offered mother ticket fly funeral , told could change name . calling trying , got told unable unless proved sending death certificate stated ‘ policy ’ . questioning wanting get false information , made representative double check confirm . troubling aunt uncle , grieving sudden loss son ( cousin ) documentation , sent email provided called get changed mother name . found yet another lie done change name ticket holder passed away ( make sense would dead challenge name change . ) expressing feeling mistrust , would taking longer wanting anything company , told ’ allowed refund allowed book later date . challenged representative speak manger told , none working , gone home one direct email . putting formal complaint 5 month ago still response . called back use money book new flight say could n't less amount ( even saying fine keep remaining money ) allowed book amount ( scam get money ) . asking speak manager , shock horror , n't one working . looking status complaint said back log get eventually ( say lot back log complaint longer 5 month ) . told nothing . beyond appalled , hurt frustrated whole experience spreading word story every known platform review website possible till speak someone , genuinely know talking come mutual agreement/resolve issue , information told leaf believe company ’ care customer care money profit .","Based on the text provided, the sentiment score would be -0.9, indicating a very negative sentiment towards the experience described."
52,"purchased round trip direct flight business class ticket family hong kong london . day trip , airline cancelled return flight without giving reason booked u flight routing via doha gave u 2 hour layover . day departure , flight delayed 2 hour result `` crew shortage '' . getting flight , enquired whether 'd able make flight told given many passenger flight doha hong kong flight would wait . arrived told flight already departed next flight available 6 hour later . wait 1 hour get boarding pass given access lounge airport hotel . flight reached make complaint ask monetary consideration given experience , airline responded month . paid direct flight premium seating , experience overall poor .","Based on the text provided, the sentiment score for this text would be approximately -0.8."
53,"verified | booked two business class seat . medical emergency could n't make first leg trip . wanted re-book outgoing flight told entire travel cancelled . cost : $ 10k . course , know ba turned around re-sold return ticket .",-0.7
54,verified | although four flight delayed service offered ba exceptional . food drink offered domestic international sector extremely good attention cabin crew . disorganised boarding return newark . ba lounge service newark excellent . overall good satisfying trip .,0.7
55,"flight changed one day british airway titan . flight delayed 2 hour . meal served , entertainment . flight changed titan way back .",-0.5
56,verified | delayed flight 1 hour . arbitrary cancellation paid reserved seat - response formal complaint explanation . flight back london cancelled giving 3 day notice . reason given . alternative flight offered two day later . travelling son daughter .,-0.8
57,verified | flown ba four time . anxious traveller ’ recommend enough . constant update pilot delay cabin crew brilliant every time . always use ba future .,0.8
58,"may never see refund . cancelled return flight sent refund pakistan told must pakistani credit card forgot used purchase flight . took 3+ call admit pakistan card wasnt mine sent someone else money . calling 12 total time 3 month finally sent half refund told n't owe anything . told owed ( 132 $ 700 $ ticket ) , sent pakistan , owe half ( 75 $ ) ?",The sentiment of this text is -0.8
